Kondisi,run,Faithfulness,Answer_Relevancy,Precision@5,Recall@5,Hit@5
SPECTER2 (tanpa CoT),1,0.6374,0.9043,0.6881,0.9056,0.9583
SPECTER2 (tanpa CoT),2,0.6363,0.9032,0.6881,0.9056,0.9583
SPECTER2 (tanpa CoT),3,0.6347,0.9045,0.6881,0.9056,0.9583
SPECTER2 + CoT,1,0.7013,0.9126,0.6881,0.9056,0.9583
SPECTER2 + CoT,2,0.7067,0.9132,0.6881,0.9056,0.9583
SPECTER2 + CoT,3,0.6972,0.9136,0.6881,0.9056,0.9583
SPECTER2 + CoT,4,0.6872,0.9132,0.6881,0.9056,0.9583
SPECTER2 + CoT,5,0.6847,0.9116,0.6881,0.9056,0.9583
HyDE + CoT,1,0.6594,0.8924,0.7128,0.8859,0.9306
HyDE + CoT,2,0.6789,0.8977,0.7084,0.9021,0.9375
HyDE + CoT,3,0.6489,0.8904,0.7097,0.9067,0.9514
HyDE + CoT,4,0.6485,0.9,0.7008,0.8882,0.9306
HyDE + CoT,5,0.6718,0.8958,0.692,0.8789,0.9236
